City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
melfort,52.8667,-104.6177,-1.93,74,3,4.12,CA,1700027257
manggar,-2.8833,108.2667,30.47,60,95,3.48,ID,1700027257
sechura,-5.5569,-80.8222,20.95,77,96,6.17,PE,1700027257
inirida,3.8653,-67.9239,24.03,94,71,1.36,CO,1700027257
antsiranana,-12.2787,49.2917,30.42,58,40,3.09,MG,1700026924
araguaina,-7.1911,-48.2072,27.48,48,0,1.67,BR,1700027258
hradyz'k,49.2346,33.1361,6.88,88,34,5.68,UA,1700027259
tianpeng,30.9866,103.9393,16.46,52,99,2.48,CN,1700027259
lorengau,-2.0226,147.2712,28.87,71,44,1.77,PG,1700027259
prairie view,30.0933,-95.9877,15.8,92,38,1.8,US,1700027260
roma,43.2128,-75.4557,1.06,94,0,0.0,US,1700026962
vila do maio,15.1333,-23.2167,25.44,74,97,8.02,CV,1700027260
dunedin,-45.8742,170.5036,10.23,85,100,0.99,NZ,1700027007
raholt,60.2667,11.1833,-5.96,85,75,3.6,NO,1700027260
galvez,-32.0293,-61.221,19.95,88,99,3.42,AR,1700027260
leua,48.2156,18.6071,11.39,68,94,9.63,SK,1700027261
saint-felicien,48.6501,-72.4491,1.38,86,100,2.57,CA,1700027261
guerrero negro,27.9769,-114.0611,18.92,61,65,3.22,MX,1700026807
dalandzadgad,43.5708,104.425,-2.56,58,100,13.84,MN,1700026936
samana,19.2056,-69.3369,24.62,88,36,3.83,DO,1700027261
zakynthos,37.7914,20.8953,14.8,78,64,1.13,GR,1700027261
laguna,38.421,-121.4238,14.47,76,0,4.12,US,1700026842
happy valley-goose bay,53.3168,-60.3315,-9.83,79,20,6.17,CA,1700026951
saldanha,-33.0117,17.9442,23.03,39,2,1.01,ZA,1700027262
sorong,-0.8833,131.25,29.02,72,100,3.71,ID,1700027002
pathein,16.7833,94.7333,31.21,64,84,4.0,MM,1700026970
kiunga,-6.1219,141.2906,29.07,73,65,1.26,PG,1700026989
severodvinsk,64.5635,39.8302,-6.04,93,42,1.71,RU,1700027262
misratah,32.3754,15.0925,19.52,70,0,3.8,LY,1700027262
kemijarvi,66.7131,27.4306,-14.13,100,100,0.93,FI,1700027263
fort bragg,35.139,-79.006,11.01,66,0,1.54,US,1700026966
fisterra,42.9049,-9.2629,13.34,80,96,1.98,ES,1700027263
tidjikja,18.5564,-11.4271,21.11,17,62,5.83,MR,1700027263
trinity beach,-16.7888,145.6968,34.45,66,64,4.63,AU,1700027263
hutchinson island south,27.2995,-80.2205,25.59,73,100,9.39,US,1700027264
hachinohe,40.5,141.5,10.4,61,53,1.49,JP,1700027264
smidovich,48.6,133.8167,-7.48,95,29,2.16,RU,1700027264
kone,-21.0595,164.8658,25.25,55,0,3.6,NC,1700026948
copiapo,-27.3667,-70.3333,11.83,70,100,0.37,CL,1700027264
quellon,-43.1167,-73.6167,7.42,93,100,4.76,CL,1700027264
afif,23.9065,42.9172,23.1,34,98,4.87,SA,1700027265
bodaybo,57.8506,114.1933,-7.55,80,93,2.91,RU,1700027265
victoria point,-27.5833,153.3,30.04,67,49,2.24,AU,1700027265
lincoln,40.8,-96.667,13.4,53,0,5.14,US,1700026989
kuanda,56.3161,116.0806,-6.81,85,100,2.41,RU,1700026939
tashtyp,52.7939,89.8983,1.96,83,96,0.85,RU,1700027265
zhoucun,36.8167,117.8167,13.27,38,88,1.55,CN,1700027266
la romana,18.4273,-68.9728,23.96,89,31,3.0,DO,1700027266
al wajh,26.2455,36.4525,22.97,56,0,1.54,SA,1700026958
kristiansund,63.1115,7.732,-0.64,74,0,2.06,NO,1700027266
kuta,-8.7233,115.1723,30.97,74,75,5.81,ID,1700027266
mercedes,-34.6515,-59.4307,17.1,88,94,2.88,AR,1700027267
cabacungan,10.3237,123.1331,29.71,65,44,3.57,PH,1700027267
olyokminsk,60.3736,120.4264,-8.16,81,88,3.79,RU,1700027267
san rafael,-34.6177,-68.3301,15.26,63,19,2.32,AR,1700027267
dzhalagash,45.0833,64.6667,11.63,28,25,5.24,KZ,1700026931
putnok,48.3,20.4333,9.66,90,100,4.69,HU,1700027267
lerwick,60.1545,-1.1494,7.42,69,70,5.66,GB,1700026942
abepura,-2.6333,140.5833,32.45,62,40,5.14,ID,1700027268
guiuan,11.0333,125.7247,28.61,77,67,7.26,PH,1700027268
garachico,28.7781,-17.7646,24.16,73,26,3.6,ES,1700027268
ghadamis,30.1337,9.5007,16.54,51,0,2.01,LY,1700027268
zunyi,27.6867,106.9072,9.68,92,100,0.59,CN,1700027268
namtsy,62.7161,129.6658,-15.86,96,100,2.02,RU,1700027269
santa ana,33.7456,-117.8678,20.06,53,0,2.06,US,1700027019
buurhakaba,2.8026,44.0781,25.87,78,100,1.21,SO,1700027269
zeya,53.75,127.2667,-7.51,71,87,1.26,RU,1700027269
calama,-22.4667,-68.9333,9.27,29,0,4.12,CL,1700027269
orsa,54.5153,30.4053,2.1,88,100,2.31,BY,1700027269
faya-largeau,17.9257,19.1043,21.93,31,3,11.91,TD,1700026891
port macquarie,-31.4333,152.9167,25.5,73,80,3.28,AU,1700026904
chernolesskoye,44.7156,43.7133,7.48,67,95,3.26,RU,1700027270
nantucket,41.2835,-70.0995,6.67,86,95,5.14,US,1700026897
richfield,44.8833,-93.283,12.97,65,0,4.12,US,1700027270
kattivakkam,13.2167,80.3167,26.05,91,100,6.46,IN,1700027005
laminusa,5.5549,120.9136,29.05,71,35,1.94,PH,1700027270
nova xavantina,-14.6667,-52.35,26.12,43,33,0.34,BR,1700027271
batang,-6.4846,110.7083,30.83,66,59,2.94,ID,1700027049
ierapetra,35.01,25.7353,20.31,54,28,2.35,GR,1700027271
kourou,5.1552,-52.6478,24.03,91,12,2.73,GF,1700027271
kincardine,56.0667,-3.7167,7.53,92,100,1.48,GB,1700027271
pimenta bueno,-11.6725,-61.1936,24.99,65,3,0.39,BR,1700027109
san juan nepomuceno,9.9516,-75.082,24.54,94,100,2.04,CO,1700027271
mogocha,53.7333,119.7667,-4.7,56,100,1.85,RU,1700026991
las terrenas,19.311,-69.5428,24.98,85,30,4.21,DO,1700027272
la ronge,55.1001,-105.2842,-5.86,86,0,2.57,CA,1700026978
sangmelima,2.9333,11.9833,20.5,98,100,1.29,CM,1700027273
sainte-menehould,49.0833,4.9,10.0,89,99,6.07,FR,1700027273
yanaul,56.2719,54.9309,4.07,93,81,3.53,RU,1700027273
mar del plata,-38.0023,-57.5575,14.49,72,75,6.71,AR,1700026830
manohar thana,24.24,76.8018,26.17,32,8,2.4,IN,1700027273
la plata,-34.9215,-57.9545,19.34,86,98,3.11,AR,1700026990
borovichi,58.3878,33.9155,0.01,96,98,2.68,RU,1700027274
vigan,17.5747,120.3869,29.96,92,68,3.31,PH,1700027274
timmins,48.4669,-81.3331,2.9,81,75,4.63,CA,1700027231
aswan,24.0934,32.907,22.61,43,0,4.12,EG,1700027003
fort st. john,56.2499,-120.8529,-1.06,69,20,7.72,CA,1700026961
tukrah,32.5341,20.5791,21.33,75,67,4.12,LY,1700027274
ketchikan,55.3422,-131.6461,4.99,93,40,2.06,US,1700027103
reggane,26.7158,0.1714,19.64,34,29,4.91,DZ,1700026994
mek'ele,13.4967,39.4753,19.96,42,6,3.17,ET,1700027275
kruisfontein,-34.0033,24.7314,21.49,40,82,3.05,ZA,1700027208
kamaishi,39.2667,141.8833,11.15,59,100,1.21,JP,1700027275
cooper's town,26.8667,-77.5167,24.23,66,100,11.86,BS,1700027275
glace bay,46.1969,-59.957,2.77,85,100,5.36,CA,1700027275
moab,38.5733,-109.5498,10.27,42,18,1.5,US,1700027244
kodinsk,58.6881,99.1844,-8.64,78,95,2.29,RU,1700027275
gusev,54.5922,22.1997,3.64,96,100,6.53,RU,1700027276
kitimat,54.0524,-128.6534,3.84,66,100,2.68,CA,1700027276
macia,-25.0269,33.0989,21.49,57,92,2.28,MZ,1700027276
galliano,29.4422,-90.2992,18.0,88,100,5.66,US,1700027276
mogoytuy,51.2833,114.9167,-2.37,63,100,9.34,RU,1700027276
el granada,37.5027,-122.4694,16.9,75,20,0.0,US,1700026921
balezino,57.9796,53.0106,1.51,91,95,3.35,RU,1700027277
okha,53.5739,142.9478,-4.85,78,73,5.28,RU,1700027277
banjarmasin,-3.3244,114.591,35.08,60,72,3.17,ID,1700027277
cooma,-36.2333,149.1333,19.04,56,100,3.61,AU,1700027277
hoeryong,42.4428,129.7508,7.48,45,0,1.19,KP,1700027277
zigong,29.3416,104.7769,12.34,80,100,2.82,CN,1700027277
at taj,24.2049,23.2857,16.58,66,1,3.05,LY,1700027278
gusinoozyorsk,51.2833,106.5,-3.76,60,11,8.05,RU,1700027278
shenjiamen,29.9576,122.298,15.78,55,2,0.6,CN,1700027278
tarusa,54.7233,37.1767,2.83,89,100,0.62,RU,1700027278
chimbote,-9.0853,-78.5783,19.11,86,100,2.77,PE,1700027278
bridgewater,44.3835,-64.5155,2.82,81,42,5.14,CA,1700026809
belmonte,-15.8631,-38.8828,23.54,86,3,3.24,BR,1700026909
marka,1.7159,44.7717,28.94,70,91,1.62,SO,1700027279
griffith,41.5284,-87.4237,9.38,45,0,3.09,US,1700027279
yuli,9.6989,10.2744,25.63,30,100,1.36,NG,1700027279
belyy yar,53.6039,91.3903,1.94,87,75,4.0,RU,1700027279
morondava,-20.2833,44.2833,26.93,56,20,2.32,MG,1700027279
tarko-sale,64.9225,77.785,-3.48,96,99,6.03,RU,1700027259
north bay,46.3168,-79.4663,1.64,89,0,3.6,CA,1700027280
cuyo,10.8525,121.0086,28.96,74,43,4.49,PH,1700027280
nicoya,10.1483,-85.452,24.21,94,100,0.78,CR,1700027280
novyy urengoy,66.0833,76.6333,-7.6,94,99,4.56,RU,1700027280
behshahr,36.6923,53.5526,19.97,69,82,4.71,IR,1700027280
tofol,5.3248,163.0078,27.88,89,100,2.06,FM,1700026941
maxixe,-23.8597,35.3472,21.9,68,40,4.12,MZ,1700027281
luchegorsk,46.4764,134.2569,-1.73,83,11,1.8,RU,1700027281
bondo,3.8146,23.6866,22.14,94,93,0.35,CD,1700027281
atmakur,15.8833,78.5833,29.03,54,72,1.91,IN,1700027281
malvik,63.4333,10.6833,-5.28,73,0,4.12,NO,1700027281
al qitena,14.8648,32.3668,30.29,25,64,7.54,SD,1700027282
crossett,33.1282,-91.9612,12.99,65,59,1.64,US,1700027282
guarapari,-20.6667,-40.4975,24.94,82,11,5.21,BR,1700027282
merritt,50.1123,-120.7942,-1.34,94,100,1.09,CA,1700027282
chebba,35.2372,11.115,19.24,47,2,2.71,TN,1700027283
mount isa,-20.7333,139.5,39.87,15,1,5.14,AU,1700026908
whangarei,-35.7317,174.3239,17.83,68,47,1.47,NZ,1700027283
solnechnyy,50.7214,136.6319,-9.43,86,30,2.02,RU,1700027283
tuy hoa,13.0833,109.3,26.93,89,85,4.24,VN,1700027283
campo maior,-4.8278,-42.1686,22.98,94,91,1.53,BR,1700027284
grand-bassam,5.2118,-3.7388,26.98,87,3,2.3,CI,1700027284
ramshir,30.8946,49.4092,22.86,42,52,3.71,IR,1700027284
la libertad,-2.2333,-80.9,22.97,85,100,4.75,EC,1700026891
colares,38.7992,-9.4469,16.29,94,27,4.02,PT,1700027285
la foa,-21.7108,165.8276,23.66,58,12,6.74,NC,1700027285
raduzhny,62.0961,77.475,1.43,99,100,5.95,RU,1700027285
pocahontas,36.2615,-90.9712,8.92,73,0,2.57,US,1700027285
lethem,3.3803,-59.7968,27.71,58,6,5.55,GY,1700027285
charters towers,-20.1,146.2667,36.0,17,0,8.29,AU,1700027285
bamyan,34.75,67.25,5.73,17,77,1.62,AF,1700027286
horta,38.5333,-28.6333,19.75,92,100,8.18,PT,1700026903
san julian,21.0167,-102.1667,14.76,67,71,3.2,MX,1700027011
hauterive,46.0901,3.4459,11.42,89,97,1.67,FR,1700027286
zaragoza,41.6561,-0.8773,15.82,75,40,3.6,ES,1700027286
aleksandrovsk-sakhalinskiy,50.8975,142.1561,-3.02,74,43,2.66,RU,1700027287
nizhnyaya poyma,56.1622,97.1933,-2.85,68,100,2.92,RU,1700027287
hami,42.8,93.45,4.54,31,0,1.59,CN,1700026916
arawa,-6.2132,155.5367,28.67,73,86,0.91,PG,1700027287
neuenstein,49.2058,9.5792,10.7,83,100,7.2,DE,1700027287
sinjai,-5.1241,120.253,32.73,53,72,5.0,ID,1700027287
ves'yegonsk,58.664,37.2604,-0.88,89,91,1.81,RU,1700027288
baskale,38.0453,44.0172,4.59,92,100,1.28,TR,1700027288
